market,lookback,atr_mult,touches,trend,n,n_is,n_oos,pf_is,pf_oos,wr,avg_r
ETHUSDT,3,0.2,2,none,502,309,193,1.213,0.884,37.6,0.053
ETHUSDT,3,0.2,2,ema200,317,189,128,1.293,0.971,38.8,0.1
ETHUSDT,3,0.2,3,none,310,187,123,0.878,1.171,35.5,-0.003
ETHUSDT,3,0.2,3,ema200,178,103,75,1.242,1.311,41.0,0.159
ETHUSDT,3,0.3,2,none,444,270,174,0.991,1.075,37.4,0.017
ETHUSDT,3,0.3,2,ema200,309,186,123,1.249,0.994,40.5,0.087
ETHUSDT,3,0.3,3,none,321,191,130,0.766,1.17,35.8,-0.046
ETHUSDT,3,0.3,3,ema200,202,118,84,1.351,1.234,44.6,0.158
ETHUSDT,3,0.4,2,none,407,254,153,0.905,1.135,37.8,-0.004
ETHUSDT,3,0.4,2,ema200,296,183,113,1.288,1.191,43.2,0.136
ETHUSDT,3,0.4,3,none,314,191,123,0.864,1.146,37.9,-0.015
ETHUSDT,3,0.4,3,ema200,208,122,86,1.327,1.181,44.7,0.135
ETHUSDT,3,0.5,2,none,369,231,138,0.927,1.365,41.7,0.045
ETHUSDT,3,0.5,2,ema200,288,178,110,1.399,1.133,45.5,0.146
ETHUSDT,3,0.5,3,none,300,184,116,0.668,1.404,38.7,-0.04
ETHUSDT,3,0.5,3,ema200,209,127,82,1.445,1.37,47.8,0.185
ETHUSDT,4,0.2,2,none,433,258,175,1.168,0.795,36.3,0.008
ETHUSDT,4,0.2,2,ema200,258,153,105,1.219,0.939,38.4,0.067
ETHUSDT,4,0.2,3,none,240,135,105,1.101,1.105,37.9,0.067
ETHUSDT,4,0.2,3,ema200,118,65,53,1.372,1.45,43.2,0.23
ETHUSDT,4,0.3,2,none,397,235,162,1.046,1.193,38.8,0.065
ETHUSDT,4,0.3,2,ema200,257,152,105,1.301,1.235,42.8,0.151
ETHUSDT,4,0.3,3,none,257,146,111,0.953,1.527,40.1,0.105
ETHUSDT,4,0.3,3,ema200,146,77,69,1.653,1.76,49.3,0.327
ETHUSDT,4,0.4,2,none,368,218,150,0.951,0.96,37.0,-0.021
ETHUSDT,4,0.4,2,ema200,250,153,97,1.279,1.216,43.6,0.136
